Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,Text,Likert,Source,Source_topic,ShowProgressBar
1,1658738631476,25/07/2022 08:43:51,1658738631316,2,25/07/2022 10:43:51,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1658738642345,25/07/2022 08:44:02,1658738642231,2,25/07/2022 10:44:02,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,10818.39999999851,null,,null,,0,1,0,null,null,false,,,Instructions,,,,,,
3,1658738652301,25/07/2022 08:44:12,1658738652139,2,25/07/2022 10:44:12,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,advancementZone,continue_button,9895.29999999702,null,,null,,0,1,0,null,null,false,,,Instructions,,,,,,
4,1658738657669,25/07/2022 08:44:17,1658738657520,2,25/07/2022 10:44:17,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,1,1,3,Screen 3,advancementZone,continue_button,5350.10000000149,null,,null,,0,1,0,null,null,false,,,Instructions,,,,,,
5,1658738669935,25/07/2022 08:44:29,1658738669817,2,25/07/2022 10:44:29,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_rating_scale_likert_active,12255,null,,En osaa sanoa,1,0,1,0,null,null,false,,,Initial_assessment,,Kuinka todennäköisesti tukisit tätä kansalaisaloitetta?,"Varmasti en, Luultavasti en, En osaa sanoa, Luultavasti kyllä, Varmasti kyllä",,,
6,1658738681164,25/07/2022 08:44:41,1658738681054,2,25/07/2022 10:44:41,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone2,response_rating_scale_likert_active,11128.79999999702,null,,Jokseenkin tuttu,1,0,1,0,null,null,false,,,Initial_assessment,,Kuinka tuttu tämä aihe on sinulle?,"Ei ollenkaan tuttu, Hiukan tuttu, Jokseenkin tuttu, Hyvin tuttu, Erittäin tuttu",,,
7,1658738689460,25/07/2022 08:44:49,1658738689310,2,25/07/2022 10:44:49,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,4,3,1,Screen 1,Zone2,response_rating_scale_likert_active,8148.89999999851,null,,Jokseenkin kiinnostava,1,0,1,0,null,null,false,,,Initial_assessment,,Kuinka kiinnostava tämän kansalaisaloitteen aihe on mielestäsi?,"Ei ollenkaan kiinnostava, Hiukan kiinnostava, Jokseenkin kiinnostava, Hyvin kiinnostava, Erittäin kiinnostava",,,
8,1658738695257,25/07/2022 08:44:55,1658738695134,2,25/07/2022 10:44:55,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,5,4,1,Screen 1,Zone2,response_rating_scale_likert_active,5675.70000000298,null,,Jokseenkin uteliaasti,1,0,1,0,null,null,false,,,Initial_assessment,,Kuinka uteliaasti suhtaudut tämän kansalaisaloitteen aiheeseen?,"En ollenkaan uteliaasti, Hiukan uteliaasti, Jokseenkin uteliaasti, Hyvin uteliaasti, Erittäin uteliaasti",,,
9,1658738697808,25/07/2022 08:44:57,1658738697713,2,25/07/2022 10:44:57,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,Zone2,response_button_image,2493.60000000149,null,,SAM_1.5.PNG,1,0,1,0,null,null,false,,,SAM1,,,,,,
10,1658738699092,25/07/2022 08:44:59,1658738698981,2,25/07/2022 10:44:58,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,6,1,2,Screen 2,Zone20,response_button_image,1203.7999999970198,null,,SAM_2.5.PNG,1,0,1,0,null,null,false,,,SAM1,,,,,,
11,1658738753604,25/07/2022 08:45:53,1658738753503,2,25/07/2022 10:45:53,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,1,Screen 1,advancementZone,continue_button,54385.19999999553,null,,null,,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
12,1658738762993,25/07/2022 08:46:02,1658738762892,2,25/07/2022 10:46:02,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,2,Screen 5,Zone2,response_button_image,9361.30000000447,null,,SAM_1.5.PNG,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
13,1658738763838,25/07/2022 08:46:03,1658738763744,2,25/07/2022 10:46:03,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,3,Screen 6,Zone20,response_button_image,811.5999999940395,null,,SAM_2.5.PNG,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
14,1658738781920,25/07/2022 08:46:21,1658738781827,2,25/07/2022 10:46:21,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,4,Screen 3,Zone3,response_rating_scale_likert,18043.09999999404,null,,Ei epäluotettava eikä luotettava,null,0,1,0,null,null,null,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
15,1658738782025,25/07/2022 08:46:22,1658738781834,2,25/07/2022 10:46:21,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,4,Screen 3,Zone5,response_text_area,18043.09999999404,null,,,null,0,1,0,null,null,null,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
16,1658738782025,25/07/2022 08:46:22,1658738781834,2,25/07/2022 10:46:21,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,4,Screen 3,Zone6,continue_button,18043.09999999404,null,,null,,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
17,1658738793050,25/07/2022 08:46:33,1658738792938,2,25/07/2022 10:46:32,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,5,Screen 10,Zone3,response_rating_scale_likert_active,11078.80000000447,null,,Jonkin verran,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
18,1658738800209,25/07/2022 08:46:40,1658738800095,2,25/07/2022 10:46:40,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,6,Screen 4,Zone3,response_rating_scale_likert_active,7125.30000000447,null,,Neutraali,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
19,1658738809091,25/07/2022 08:46:49,1658738808897,2,25/07/2022 10:46:48,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,7,Screen 2,Zone3,response_rating_scale_likert_active,8776.60000000149,null,,En osaa sanoa,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
20,1658738819230,25/07/2022 08:46:59,1658738819082,2,25/07/2022 10:46:59,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,8,Screen 11,Zone3,response_rating_scale_likert_active,10161.20000000298,null,,En osaa sanoa,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
21,1658738825425,25/07/2022 08:47:05,1658738825320,2,25/07/2022 10:47:05,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,9,Screen 7,Zone3,response_rating_scale_likert_active,6215.89999999851,null,,Jokseenkin tuttu,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
22,1658738834016,25/07/2022 08:47:14,1658738833908,2,25/07/2022 10:47:13,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,10,Screen 8,Zone3,response_rating_scale_likert_active,8542.10000000149,null,,Jokseenkin kiinnostavana,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
23,1658738841164,25/07/2022 08:47:21,1658738841056,2,25/07/2022 10:47:21,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,7,1,11,Screen 9,Zone3,response_rating_scale_likert_active,7118.5999999940395,null,,Jokseenkin uteliaasti,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://www.pieksamaenlehti.fi/paakirjoitus-mielipide/3159933"" target=""_blank""> Palaako peltoviljely pääosin kangasmaille?</a>",Palaako peltoviljely pääosin kangasmaille?,1
24,1658738846545,25/07/2022 08:47:26,1658738846436,2,25/07/2022 10:47:26,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,11,2,1,Screen 1,advancementZone,continue_button,5236.29999999702,null,,null,,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://yle.fi/aihe/artikkeli/2017/09/18/auttaa-akneen-reumaan-selluliittiin-ja-hiustenlahtoon-mika-se-on"" target=""_blank""> Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?</a>","Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?",1
25,1658738847630,25/07/2022 08:47:27,1658738847525,2,25/07/2022 10:47:27,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,11,2,2,Screen 5,Zone2,response_button_image,1041.6000000014901,null,,SAM_1.5.PNG,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://yle.fi/aihe/artikkeli/2017/09/18/auttaa-akneen-reumaan-selluliittiin-ja-hiustenlahtoon-mika-se-on"" target=""_blank""> Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?</a>","Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?",1
26,1658738848374,25/07/2022 08:47:28,1658738848275,2,25/07/2022 10:47:28,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,11,2,3,Screen 6,Zone20,response_button_image,716.0999999940395,null,,SAM_2.5.PNG,1,0,1,0,null,null,false,,1,Reading,,,,"<a href=""https://yle.fi/aihe/artikkeli/2017/09/18/auttaa-akneen-reumaan-selluliittiin-ja-hiustenlahtoon-mika-se-on"" target=""_blank""> Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?</a>","Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?",1
27,1658738853571,25/07/2022 08:47:33,1658738853399,2,25/07/2022 10:47:33,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,11,2,4,Screen 3,Zone3,response_rating_scale_likert,5090,null,,Ei epäluotettava eikä luotettava,null,0,1,0,null,null,null,,1,Reading,,,,"<a href=""https://yle.fi/aihe/artikkeli/2017/09/18/auttaa-akneen-reumaan-selluliittiin-ja-hiustenlahtoon-mika-se-on"" target=""_blank""> Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?</a>","Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?",1
28,1658738853639,25/07/2022 08:47:33,1658738853403,2,25/07/2022 10:47:33,,,,,23275515,,6832323,,live,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x609,,Citizen's Initiative (Finnish) (2nd version),19,Spreadsheet1,Spreadsheet1,11,2,4,Screen 3,Zone5,response_text_area,5090,null,,,null,0,1,0,null,null,null,,1,Reading,,,,"<a href=""https://yle.fi/aihe/artikkeli/2017/09/18/auttaa-akneen-reumaan-selluliittiin-ja-hiustenlahtoon-mika-se-on"" target=""_blank""> Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?</a>","Auttaa akneen, reumaan, selluliittiin ja hiustenlähtöön – mikä se on?",1
