Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;response;response_count;Image
1;1641970523895;12/01/2022 06:55:23;1641970523797;2;12/01/2022 08:55:23;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;
2;1641970539985;12/01/2022 06:55:39;1641970539927;2;12/01/2022 08:55:39;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;16095.5;;;;;0;1;0;;;;;;Instructions;;;
3;1641970545121;12/01/2022 06:55:45;1641970545078;2;12/01/2022 08:55:45;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;1;Screen 1;Zone1;continue_keyboard;5143.200000000186;;;;;0;1;0;;;;;;Trial 1;space;;cube.PNG
4;1641970558151;12/01/2022 06:55:58;1641970558094;2;12/01/2022 08:55:58;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;13007.600000000559;;;space;1;1;0;0;;;;;;Trial 1;space;;cube.PNG
5;1641970571406;12/01/2022 06:56:11;1641970571350;2;12/01/2022 08:56:11;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;advancementZone;response_keyboard_single;26263.400000000373;;;space;2;1;0;0;;;;;;Trial 1;space;;cube.PNG
6;1641970575122;12/01/2022 06:56:15;1641970575083;2;12/01/2022 08:56:15;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;2;1;2;Screen 2;content;timelimit_screen;30008.674;;;;;0;1;0;;;1;;;Trial 1;space;;cube.PNG
7;1641970580042;12/01/2022 06:56:20;1641970579997;2;12/01/2022 08:56:19;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;1;Screen 1;advancementZone;continue_keyboard;4909.799999999814;;;;;0;1;0;;;;;;Trial 2;space;;cube.PNG
8;1641970593549;12/01/2022 06:56:33;1641970593501;2;12/01/2022 08:56:33;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;advancementZone;response_keyboard_single;13498.5;;;space;1;1;0;0;;;;;;Trial 2;space;;cube.PNG
9;1641970609319;12/01/2022 06:56:49;1641970609277;2;12/01/2022 08:56:49;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;advancementZone;response_keyboard_single;29274.299999999814;;;space;2;1;0;0;;;;;;Trial 2;space;;cube.PNG
10;1641970610049;12/01/2022 06:56:50;1641970610002;2;12/01/2022 08:56:50;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;3;1;2;Screen 2;content;timelimit_screen;30008.108;;;;;0;1;0;;;1;;;Trial 2;space;;cube.PNG
11;1641970612821;12/01/2022 06:56:52;1641970612765;2;12/01/2022 08:56:52;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;Spreadsheet1;4;1;1;Screen 1;advancementZone;continue_button;2759.2000000001863;;;;;0;1;0;;;;;;Finish;;;
12;1641970612911;12/01/2022 06:56:52;1641970612768;2;12/01/2022 08:56:52;55551;23;task-9nll;;18449319;BLIND;5460154;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;2560x1440;2560x1297;Openminded Chunk;Necker Cube task (Finnish);8;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;Spreadsheet1;;;END TASK;;;;;88971;;;;;0;1;0;;;;;;;;;
END OF FILE
