Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-8fbu;checkpoint-jqo9;checkpoint-c9q5;checkpoint-a7bi;checkpoint-jcga;Randomise questionnaire elements?;sc-1;sc-1-text;sc-1-quantised;sc-2;sc-2-text;sc-2-quantised;sc-3;sc-3-text;sc-3-quantised;sc-4;sc-4-text;sc-4-quantised;END QUESTIONNAIRE
1;1642774985757;21/01/2022 14:23:05;1642774985937;2;21/01/2022 16:23:05;55551;25;questionnaire-go4a;;18726643;BLIND;5542767;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;1711x1309;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;En yhtään;;1;Täysin samaa mieltä;;5;Samaa mieltä;;4;35304
1;1642792544784;21/01/2022 19:15:44;1642792544381;2;21/01/2022 21:15:44;55551;25;questionnaire-go4a;;18740950;BLIND;5548631;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;2560x1440;2560x1287;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;66788
1;1642855934718;22/01/2022 12:52:14;1642855997724;2;22/01/2022 14:53:17;55551;25;questionnaire-go4a;;18756548;BLIND;5552405;;live;;;computer;Desktop or Laptop;Windows 8.1;Chrome 97.0.4692.71;1366x768;1366x625;Decision Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;;;;No;En kertaakaan;;1;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Samaa mieltä;;4;45131
1;1642891048262;22/01/2022 22:37:28;1642891047656;2;23/01/2022 00:37:27;55551;25;questionnaire-go4a;;18767839;BLIND;5555000;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;2560x1440;2560x1329;Openminded Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;34743
1;1642931808844;23/01/2022 09:56:48;1642931808281;2;23/01/2022 11:56:48;55551;25;questionnaire-go4a;;18772376;BLIND;5555882;;complete;;;computer;Desktop or Laptop;Mac OS 10.15;Firefox 96.0;1440x900;1440x685;Openminded Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;46334
1;1642966645533;23/01/2022 19:37:25;1642966645409;2;23/01/2022 21:37:25;55551;25;questionnaire-go4a;;18786755;BLIND;5556093;;complete;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1366x768;1301x626;Openminded Chunk;Science Curiosity Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kolmea tai neljää;;4;Ei eri eikä samaa mieltä;;3;Ei eri eikä samaa mieltä;;3;53969
1;1642973110209;23/01/2022 21:25:10;1642973109693;2;23/01/2022 23:25:09;55551;25;questionnaire-go4a;;18789631;BLIND;5559681;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1447x766;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;En yhtään;;1;Samaa mieltä;;4;Täysin samaa mieltä;;5;42906
1;1643025571887;24/01/2022 11:59:31;1643025571733;2;24/01/2022 13:59:31;55551;25;questionnaire-go4a;;18800274;BLIND;5562166;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1536x864;1462x762;Openminded Chunk;Science Curiosity Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Samaa mieltä;;4;Samaa mieltä;;4;27058
1;1643052920157;24/01/2022 19:35:20;1643052919035;2;24/01/2022 21:35:19;55551;25;questionnaire-go4a;;18825635;BLIND;5569558;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1920x1080;1920x937;Openminded Chunk;Science Curiosity Scale (Finnish);7;JKILHMGNFAEBDC;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;49085
1;1643114857013;25/01/2022 12:47:37;1643114855595;2;25/01/2022 14:47:35;55551;25;questionnaire-go4a;;18847879;BLIND;5578226;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1680x1050;1680x899;Reasoning Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;;No;En kertaakaan;;1;Kahta;;3;Ei eri eikä samaa mieltä;;3;Täysin eri mieltä;;1;35342
1;1643303705534;27/01/2022 17:15:05;1643303704840;2;27/01/2022 19:15:04;55551;25;questionnaire-go4a;;18936506;BLIND;5608075;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;2560x1440;2327x1218;Openminded Chunk;Science Curiosity Scale (Finnish);7;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;18904
1;1643353821826;28/01/2022 07:10:21;1643353849902;2;28/01/2022 09:10:49;55551;25;questionnaire-go4a;;18951609;BLIND;5614189;;complete;;;computer;Desktop or Laptop;Linux i686;Firefox 78.0;1680x1050;1680x898;Openminded Chunk;Science Curiosity Scale (Finnish);7;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;En yhtään;;1;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;59825
1;1643380700660;28/01/2022 14:38:20;1643380700539;2;28/01/2022 16:38:20;55551;25;questionnaire-go4a;;18963895;BLIND;5616968;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1301x732;1302x659;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kahta;;3;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;45862
1;1643387723766;28/01/2022 16:35:23;1643387723618;2;28/01/2022 18:35:23;55551;25;questionnaire-go4a;;18967484;BLIND;5618126;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1280x587;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Samaa mieltä;;4;67689
1;1643407401193;28/01/2022 22:03:21;1643407401577;2;29/01/2022 00:03:21;55551;25;questionnaire-go4a;;18974811;BLIND;5621289;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1536x864;1536x711;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kahdesti vuodessa;;3;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;22932
1;1643554567325;30/01/2022 14:56:07;1643554570152;2;30/01/2022 16:56:10;55551;25;questionnaire-go4a;;18994410;BLIND;5626669;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.71;1280x720;1280x613;Reasoning Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;Reasoning Chunk;;No;En kertaakaan;;1;En yhtään;;1;Samaa mieltä;;4;Samaa mieltä;;4;50390
1;1643618213558;31/01/2022 08:36:53;1643618213419;2;31/01/2022 10:36:53;55551;25;questionnaire-go4a;;19005661;BLIND;5629594;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x722;Openminded Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Eri mieltä;;2;Eri mieltä;;2;43462
1;1643618831701;31/01/2022 08:47:11;1643618831603;2;31/01/2022 10:47:11;55551;25;questionnaire-go4a;;19005729;BLIND;5629626;;live;;;computer;Desktop or Laptop;Windows 10;Edge 97.0.1072.69;1280x720;1024x462;Reasoning Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;;No;En kertaakaan;;1;En yhtään;;1;Samaa mieltä;;4;Ei eri eikä samaa mieltä;;3;56550
1;1643623730961;31/01/2022 10:08:50;1643623730802;2;31/01/2022 12:08:50;55551;25;questionnaire-go4a;;19007180;BLIND;5629995;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.2;1440x900;1416x710;Openminded Chunk;Science Curiosity Scale (Finnish);7;GHFIEJDKCLBMAN;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;26916
1;1643633512596;31/01/2022 12:51:52;1643633496461;2;31/01/2022 14:51:36;55551;25;questionnaire-go4a;;19012495;BLIND;5631076;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 97.0.4692.99;1440x900;1440x693;Openminded Chunk;Science Curiosity Scale (Finnish);7;HIGJFKELDMCNBA;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Viittä tai enemmän;;5;Ei eri eikä samaa mieltä;;3;Eri mieltä;;2;37876
1;1643650161613;31/01/2022 17:29:21;1643650154733;2;31/01/2022 19:29:14;55551;25;questionnaire-go4a;;19025408;BLIND;5634435;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1536x754;Openminded Chunk;Science Curiosity Scale (Finnish);7;IJHKGLFMENDACB;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Ei eri eikä samaa mieltä;;3;Samaa mieltä;;4;37918
1;1643698370046;01/02/2022 06:52:50;1643698369934;2;01/02/2022 08:52:49;55551;25;questionnaire-go4a;;19045889;BLIND;5641501;;complete;;;computer;Desktop or Laptop;Linux x86_64;Firefox 91.0;1920x1080;1920x897;Openminded Chunk;Science Curiosity Scale (Finnish);7;KLJMINHAGBFCED;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;23400
1;1643734065647;01/02/2022 16:47:45;1643734066832;2;01/02/2022 18:47:46;55551;25;questionnaire-go4a;;19062160;BLIND;5645930;;complete;;;computer;Desktop or Laptop;Windows 7;Chrome 97.0.4692.99;1920x1080;1920x969;Openminded Chunk;Science Curiosity Scale (Finnish);7;LMKNJAIBHCGDFE;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Ei eri eikä samaa mieltä;;3;35523
1;1643754333739;01/02/2022 22:25:33;1643754333660;1;01/02/2022 23:25:33;55551;25;questionnaire-go4a;;19071166;BLIND;5649003;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1280x720;1280x577;Openminded Chunk;Science Curiosity Scale (Finnish);7;MNLAKBJCIDHEGF;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;15849
1;1643794951458;02/02/2022 09:42:31;1643794951391;2;02/02/2022 11:42:31;55551;25;questionnaire-go4a;;19076536;BLIND;5650356;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1536x864;1024x476;Openminded Chunk;Science Curiosity Scale (Finnish);7;NAMBLCKDJEIFHG;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Samaa mieltä;;4;24599
1;1643808933604;02/02/2022 13:35:33;1643808933139;2;02/02/2022 15:35:33;55551;25;questionnaire-go4a;;19086456;BLIND;5653211;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 96.0.4664.110;1280x720;1280x609;Openminded Chunk;Science Curiosity Scale (Finnish);7;ABNCMDLEKFJGIH;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Viittä tai enemmän;;5;Samaa mieltä;;4;Eri mieltä;;2;56907
1;1643809393212;02/02/2022 13:43:13;1643809392622;2;02/02/2022 15:43:12;55551;25;questionnaire-go4a;;19086860;BLIND;5653192;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1280x720;1096x593;Openminded Chunk;Science Curiosity Scale (Finnish);7;BCADNEMFLGKHJI;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;En kertaakaan;;1;Kahta;;3;Samaa mieltä;;4;Samaa mieltä;;4;67835
1;1643842542549;02/02/2022 22:55:42;1643842541616;2;03/02/2022 00:55:41;55551;25;questionnaire-go4a;;19109658;BLIND;5659605;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 96.0;1366x768;1366x587;Openminded Chunk;Science Curiosity Scale (Finnish);7;CDBEAFNGMHLIKJ;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;3-4 kertaa vuodessa;;4;Kolmea tai neljää;;4;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;54081
1;1643893832396;03/02/2022 13:10:32;1643893832797;2;03/02/2022 15:10:32;55551;25;questionnaire-go4a;;19126963;BLIND;5664543;;live;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1313x739;1314x635;Science Chunk;Science Curiosity Scale (Finnish);7;DECFBGAHNIMJLK;Decision Chunk;Science Chunk;;;No;Kahdesti vuodessa;;3;Kahta;;3;Täysin samaa mieltä;;5;Samaa mieltä;;4;81609
1;1643964232042;04/02/2022 08:43:52;1643964231064;2;04/02/2022 10:43:51;55551;25;questionnaire-go4a;;19155466;BLIND;5676387;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 97.0.4692.99;1920x1080;1920x890;Openminded Chunk;Science Curiosity Scale (Finnish);7;EFDGCHBIAJNKML;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Yli 5 kertaa vuodessa;;5;Viittä tai enemmän;;5;Täysin samaa mieltä;;5;Täysin samaa mieltä;;5;40516
1;1643986205546;04/02/2022 14:50:05;1643986205443;2;04/02/2022 16:50:05;55551;25;questionnaire-go4a;;19167025;BLIND;5679394;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 98.0.4758.80;1440x900;1440x789;Openminded Chunk;Science Curiosity Scale (Finnish);7;FGEHDICJBKALNM;Decision Chunk;Science Chunk;Reasoning Chunk;Openminded Chunk;No;Kerran vuodessa;;2;Kolmea tai neljää;;4;Samaa mieltä;;4;Eri mieltä;;2;41803
